objid,ra,dec,ug,gr,ri,iz,dered_g,specobjid,specClass,z
587727178450075852,1.47399794,-10.6666766,1.054369,0.439875,0.258816,0.125408,18.085873,183182687421333504,2,0.076498
587727178450600068,2.62765021,-10.79362434,1.349262,0.807352,0.432636,0.412262,18.325289,183464154118488064,2,0.108101
587727178450600052,2.58256922,-10.62236194,1.88043,0.935711,0.386452,0.304489,18.487844,183464154357563392,2,0.108098
587727178450600064,2.60417586,-10.69919172,1.395779,0.769918,0.459431,0.339615,17.868893,183464154164625408,2,0.100786
587727178986422396,0.21705243,-10.28503045,1.940237,1.029993,0.456472,0.392262,17.264017,183182688075644928,2,0.112166
587727178986422389,0.21083701,-10.36553069,0.977339,7.05719E-5,0.039845,0.36727,18.244205,183182688088227840,4,2.64041
587727178986487929,0.36098756,-10.19774981,1.132189,0.977966,0.408901,0.236364,18.352079,183182688008536064,2,0.20312
587727178450337906,2.05594315,-10.78959803,1.588612,0.813112,0.392832,0.335899,17.787165,183464154638581760,2,0.107027
587727178450337911,2.06444439,-10.77238374,1.148106,0.997482,0.497072,0.223598,18.46936,183464154651164672,3,0.198631
587727178986684545,0.79676488,-10.2391642,1.352543,0.645489,0.331322,0.19335,16.55443,183464155053817856,2,0.061693
587727178986750147,1.01798044,-10.36498465,1.853621,0.945543,0.454054,0.414402,18.522129,183182687601688576,2,0.098845
587727178986750080,0.96857993,-10.39500132,1.880547,0.945843,0.411554,0.330522,17.264629,183464154999291904,2,0.08814
587727178986750088,0.99133584,-10.34565013,1.938047,1.008467,0.442794,0.405149,16.779308,183182687605882880,2,0.075343
587727178986750023,0.99743253,-10.31968065,1.666077,0.794876,0.383457,0.311239,18.305521,183182687622660096,2,0.098542
587727178986553443,0.45457794,-10.22071226,0.970369,0.358568,0.287783,0.06785,17.979345,183182688000147456,2,0.091053
587727178986618918,0.62764159,-10.2207318,1.821533,0.94492,0.418384,0.326721,16.975477,183182687819792384,2,0.103745
587727178986619025,0.63056962,-10.29493399,1.760338,0.975306,0.447952,0.361832,17.87455,183182687790432256,2,0.103874
587727178986750089,0.98566477,-10.35133886,1.892675,0.861431,0.414392,0.317804,16.306313,183464155070595072,2,0.087247
587727178986750114,0.99215018,-10.23861586,1.880352,0.92878,0.400002,0.365583,17.926712,183182687668797440,2,0.104455
587727178450469010,2.33362032,-10.63599896,1.398298,0.688076,0.39925,0.279016,18.029213,183464154441449472,2,0.079935
587727178986815517,1.1079824,-10.2353843,1.631063,0.809544,0.357697,0.283661,17.874226,183464154995097600,2,0.064947
587727178986553395,0.52643035,-10.21855248,1.436823,0.671439,0.368722,0.282563,15.402218,183182687794626560,2,0.029632
587727178986553454,0.46806305,-10.32401735,1.351768,0.882914,0.391912,0.255207,18.400469,183182687941427200,2,0.183262
587727178450403430,2.10976675,-10.64053018,-0.030256,-0.025112,0.277536,-0.052151,19.350918,183464154516946944,3,1.57548
587727178450468979,2.27518937,-10.64244612,1.55345,0.770725,0.224117,0.480827,17.800449,183464154412089344,2,0.067465
587727178450468982,2.28144662,-10.7320928,1.964239,0.949369,0.453684,0.334215,17.792959,183464154298843136,2,0.107356
587727178450468997,2.2893697,-10.77350439,1.975241,1.267025,0.480661,0.368305,18.508585,183464154307231744,2,0.198789
587727178450469001,2.30832119,-10.73894032,1.073996,0.476627,0.298815,0.109745,17.936604,183464154311426048,2,0.107272
587727178450469037,2.38491471,-10.6218051,1.889723,1.085402,0.475573,0.394432,17.827942,183464154437255168,2,0.106192
587727178450534571,2.5399185,-10.68283522,1.876991,0.703386,0.104176,-0.454428,18.218269,183464154324008960,0,1.22213E-3
587727178987143210,1.82018949,-10.31900687,0.093349,-0.334885,-0.315266,-0.163239,18.761885,183464154693107712,1,1.08816E-4
587727178986815586,1.12637684,-10.19155834,0.188284,0.499292,-0.246141,-0.375778,20.203413,183464155003486208,2,0.238656
587727178986815599,1.15331551,-10.37605885,1.750645,0.874718,0.377634,0.313358,17.30794,183182687626854400,2,0.07642
587727178987143277,1.82228624,-10.28421129,1.902826,0.932169,0.481909,0.373833,18.66147,183464154672136192,2,0.10695
587727178987143283,1.82785921,-10.35359121,1.227905,0.649529,0.31813,0.186623,18.180117,183464154667941888,2,0.106358
587727178986946676,1.41964747,-10.21736206,1.662544,0.992134,0.383921,0.279341,18.507227,183182687467470848,2,0.195759
587727178987143287,1.83710827,-10.30252846,1.291887,0.668116,0.373817,0.270245,18.216036,183464154688913408,2,0.106573
587727178987143311,1.89784034,-10.37900135,1.338877,0.493261,0.29604,0.167927,17.647188,183464154525335552,2,0.083215
587727178987143323,1.92469238,-10.37309323,0.305676,0.122562,-0.102102,-0.022278,18.948917,183464154550501376,3,1.26302
587727178987274387,2.23304286,-10.21220398,1.788706,0.934273,0.390734,0.360073,18.570421,183464154521141248,2,0.105944
587727178987274391,2.23341406,-10.27457418,1.494877,1.036251,0.472836,0.323713,18.742422,183464154546307072,2,0.189618
587727178987339822,2.26973726,-10.32387561,1.051508,0.413736,0.300238,0.118486,17.305588,183464154424672256,2,0.076411
